         1967959 function calls (1948653 primitive calls) in 6.377 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    6.377    6.377 /Users/lm/ErwinJr2/QCLayers.py:1493(auto_gain)
        1    0.000    0.000    5.092    5.092 /Users/lm/ErwinJr2/QCLayers.py:1386(full_population)
        1    0.027    0.027    5.092    5.092 /Users/lm/ErwinJr2/QCLayers.py:921(full_population)
     3640    1.458    0.000    3.602    0.001 /Users/lm/ErwinJr2/QCLayers.py:701(_ifr_transition)
158717/139411    0.078    0.000    1.688    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    14428    0.016    0.000    1.647    0.000 /Users/lm/ErwinJr2/QCLayers.py:433(psi_overlap)
    14436    0.339    0.000    1.631    0.000 {built-in method builtins.sum}
     3640    0.042    0.000    1.462    0.000 /Users/lm/ErwinJr2/QCLayers.py:621(_lo_transition)
    57712    0.317    0.000    1.292    0.000 /Users/lm/ErwinJr2/QCLayers.py:437(<genexpr>)
    45069    0.097    0.000    1.084    0.000 /Users/lm/ErwinJr2/QCLayers.py:273(_shift_psi)
    12164    0.013    0.000    0.987    0.000 <__array_function__ internals>:2(interp)
    12164    0.017    0.000    0.963    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:1289(interp)
    12164    0.917    0.000    0.917    0.000 {built-in method numpy.core._multiarray_umath.interp}
     1754    0.838    0.000    0.858    0.000 /Users/lm/ErwinJr2/OneDQuantum/OneDSchrodinger.py:144(cLOphononScatter)
        1    0.018    0.018    0.734    0.734 /Users/lm/ErwinJr2/QCLayers.py:1394(full_gain_spectrum)
     1785    0.085    0.000    0.711    0.000 /Users/lm/ErwinJr2/QCLayers.py:587(_dipole)
        1    0.002    0.002    0.538    0.538 /Users/lm/ErwinJr2/QCLayers.py:322(solve_whole)
        1    0.044    0.044    0.536    0.536 /Users/lm/ErwinJr2/QCLayers.py:344(_solve_whole_ode)
        1    0.487    0.487    0.487    0.487 /Users/lm/ErwinJr2/OneDQuantum/OneDSchrodinger.py:101(cBandSolve1D)
   343980    0.388    0.000    0.388    0.000 /Users/lm/ErwinJr2/QCLayers.py:732(interpZ)
   116482    0.064    0.000    0.388    0.000 <__array_function__ internals>:2(argmax)
     3570    0.305    0.000    0.305    0.000 /Users/lm/ErwinJr2/QCLayers.py:993(_xBandMassInv)
     7179    0.005    0.000    0.266    0.000 <__array_function__ internals>:2(trapz)
   116482    0.058    0.000    0.260    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:1114(argmax)
     7179    0.180    0.000    0.253    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:4006(trapz)
   116483    0.064    0.000    0.202    0.000 /usr/local/lib/python3.9/site-packages/numpy/core/fromnumeric.py:52(_wrapfunc)
     3570    0.002    0.000    0.150    0.000 <__array_function__ internals>:2(gradient)
     3570    0.109    0.000    0.140    0.000 /usr/local/lib/python3.9/site-packages/numpy/lib/function_base.py:802(gradient)
